Record_ID,Transaction_Date,Fiscal_Year,Quarter,Region,Country,Business_Unit,Department,Product_Category,Revenue,Cost,Profit,Profit_Margin,Operating_Expense,Customer_Segment,Sales_Channel,Payment_Method,Invoice_Status,Employee_ID,Risk_Score,Forecast_Accuracy,Customer_Rating,ROI,Profit_Percentage,Year,Month
FP00018,2021-08-08,2021.0,Q3,Asia,Unknown,SMB,IT,Subscriptions,148740.92,72213.17,76527.75,51.45,14446.94,Small Business,Online,Credit Card,Cancelled,E5533,5.36,80.01,1.52,35.45102872340426,51.45036752495547,2021,August
FP00019,2022-06-21,2022.0,Q2,North America,Canada,Unknown,IT,Software,33154.81,21318.86,11835.95,35.7,35430.54,Small Business,Direct,UPI,Pending,E1685,31.52,96.97,4.18,40.48,35.69904336655828,2022,June
FP00020,2025-10-29,2025.0,Q4,Asia,South Africa,Government,Unknown,Hardware,8939.08,5334.8,3604.28,40.32,34262.3,Corporate,Direct,Bank Transfer,Cancelled,E1406,18.76,97.73,4.13,50.02,40.32048040737973,2025,October
FP00021,2023-04-24,2023.0,Q2,Oceania,Canada,Government,Finance,Subscriptions,160644.79,140601.98,20042.81,12.48,40632.09,Corporate,Direct,UPI,Overdue,E6000,82.23,96.14,1.89,14.01,12.476476828162308,2023,April
FP00022,2024-09-13,2024.0,Q3,Asia,Japan,Government,Unknown,Consulting,101325.89404902789,22892.5,16540.33,32.403617877568315,43285.47,Small Business,Online,Credit Card,Overdue,E3925,58.48,99.51,3.0126560354842122,35.45102872340426,16.323892481024387,2024,September
FP00023,2024-05-06,2024.0,Q2,Africa,Canada,Government,IT,Unknown,101325.89404902789,70043.77,17434.42,32.403617877568315,16027.03,Small Business,Online,UPI,Paid,E9518,92.63,86.15,3.88,44.56,17.20628291872176,2024,May
FP00024,2025-02-28,2025.0,Q1,Asia,France,SMB,HR,Unknown,147670.5,75071.15,72599.35,49.16,21849.22,Unknown,Partner,Unknown,Overdue,E7592,70.02,86.63,1.77,75.4,49.1630691302596,2025,February
FP00025,2024-09-23,2024.0,Unknown,Asia,Unknown,Retail,Operations,Services,188132.37,145336.93,42795.44,22.75,25164.733792738436,Corporate,Distributor,PayPal,Overdue,E8618,44.74,90.27,3.04,45.4,22.747515486037837,2024,September
FP00026,2025-06-14,2025.0,Unknown,Africa,France,SMB,Unknown,Hardware,180334.98,151087.1,29247.88,16.22,8899.72,Unknown,Direct,Bank Transfer,Pending,E1400,5.58,99.52,3.45,-2.37,16.218639334420864,2025,June
FP00027,2025-04-23,2025.0,Q2,Unknown,Brazil,Unknown,Marketing,Unknown,15492.82,9728.6,5764.22,37.21,31673.39,Unknown,Online,Unknown,Cancelled,E4585,18.41,98.74,3.07,7.5,37.20575079294796,2025,April
FP00028,2021-04-13,2021.0,Q2,South America,South Africa,SMB,Marketing,Unknown,111923.75,101247.18,10676.57,9.54,6507.25,Government,Distributor,Bank Transfer,Unknown,E8373,26.66,77.42,3.55,2.0,9.53914607042741,2021,April
FP00029,2025-04-18,2025.0,Q2,Oceania,India,Enterprise,Operations,Services,101325.89404902789,103816.65,51940.64,33.35,12342.67,Small Business,Online,Bank Transfer,Pending,Unknown,38.92,74.58,3.0126560354842122,29.59,51.26097379892629,2025,April
FP00030,2023-04-30,2023.0,Unknown,South America,Brazil,Retail,IT,Subscriptions,82112.27,57350.18,24762.09,30.16,21080.82,Government,Online,Cash,Overdue,E7389,85.49,98.6,2.68,8.62,30.156382231303553,2023,April
FP00031,2024-01-01,2023.2522311942203,Q1,Asia,Brazil,Unknown,Unknown,Subscriptions,147192.18,123630.76,23561.42,16.01,44941.66,Small Business,Distributor,Bank Transfer,Cancelled,E3091,98.09,86.02,4.63,33.94,16.007249841669577,2024,January
FP00032,2024-04-27,2024.0,Q2,South America,Germany,Retail,Operations,Subscriptions,113314.0,68295.88139759803,66299.33,58.51,32316.11,Small Business,Unknown,UPI,Overdue,E6529,76.36,81.37,4.01,2.21,58.509389837089856,2024,April
FP00033,2025-08-31,2025.0,Unknown,North America,Japan,Enterprise,Unknown,Software,84891.4,72938.78,11952.62,14.08,23780.19,Consumer,Online,Bank Transfer,Pending,E1333,62.51,77.16,2.89,57.41,14.079895018812271,2025,August
FP00034,2021-08-23,2023.2522311942203,Q3,Europe,France,Retail,Sales,Services,113229.95,58866.04,54363.91,48.01,35123.52,Consumer,Online,Unknown,Cancelled,E7498,94.21,75.95,3.37,59.02,48.01195266799995,2021,August
FP00035,2025-08-29,2025.0,Q3,Unknown,Canada,Unknown,Operations,Consulting,125821.24,57380.24,32533.992725747245,54.4,25164.733792738436,Government,Partner,Credit Card,Overdue,E1207,85.11,94.67,1.42,66.53,25.85731369818581,2025,August
FP00036,2026-05-22,2023.2522311942203,Unknown,Europe,South Africa,SMB,IT,Consulting,73075.42,65063.89,8011.53,10.96,23257.1,Government,Distributor,UPI,Overdue,Unknown,85.32,94.92,1.35,3.77,10.963371815037123,2026,May
FP00037,2025-12-11,2023.2522311942203,Q4,Asia,USA,Government,Operations,Unknown,90709.6,73725.31,16984.29,18.72,28707.56,Government,Unknown,Unknown,Overdue,E6576,28.69,87.88,4.52,50.14,18.723806521029747,2025,December
FP00038,2024-02-13,2024.0,Q1,South America,South Africa,Enterprise,HR,Unknown,101325.89404902789,2782.8,32533.992725747245,7.86,4737.84,Government,Distributor,Credit Card,Paid,E5820,49.74820035740566,90.75,2.22,35.45102872340426,32.10827107037934,2024,February
FP00039,2024-04-06,2024.0,Unknown,Africa,Japan,SMB,HR,Subscriptions,74435.07,52432.82,22002.25,29.56,25164.733792738436,Small Business,Partner,Cash,Pending,E2976,72.41,79.47,3.97,35.45102872340426,29.558983420046488,2024,April
FP00040,2026-05-02,2023.2522311942203,Unknown,Oceania,France,Unknown,Finance,Hardware,152675.73,76617.63,76058.1,49.82,25164.733792738436,Small Business,Direct,Cash,Pending,E5952,2.4,86.02,2.1,33.58,49.81675869504603,2026,May
FP00041,2026-06-19,2026.0,Q2,Unknown,Canada,Retail,IT,Services,11850.68,6644.38,5206.3,43.93,47232.44,Government,Distributor,UPI,Overdue,E4020,96.58,85.04540054667788,3.0126560354842122,47.41,43.93250007594501,2026,June
FP00042,2021-08-22,2021.0,Q3,North America,Germany,Enterprise,Unknown,Services,164601.01,102116.67,62484.34,37.96,4167.07,Consumer,Direct,Credit Card,Cancelled,E4697,77.79,81.41,4.63,46.65,37.96109149026485,2021,August
FP00043,2022-09-01,2022.0,Q3,Africa,Unknown,Enterprise,HR,Hardware,172173.17,162620.52,9552.65,5.55,15616.32,Small Business,Online,Unknown,Unknown,E3847,55.65,74.7,2.63,45.89,5.548280257603435,2022,September
FP00044,2024-11-12,2024.0,Unknown,Oceania,Australia,Retail,HR,Hardware,119168.43,66757.27,52411.16,43.98,11958.07,Small Business,Unknown,UPI,Paid,E9922,23.26,74.47,2.06,53.63,43.980742215031285,2024,November
FP00045,2021-10-19,2021.0,Q4,Africa,India,Government,Finance,Subscriptions,15210.56,7472.3,32533.992725747245,32.403617877568315,15726.78,Small Business,Unknown,Cash,Cancelled,E8172,8.96,71.2,2.73,57.41,213.8908279888922,2021,October
FP00046,2022-10-23,2022.0,Unknown,Africa,France,Retail,Unknown,Services,101325.89404902789,50178.89,70960.12,58.58,11831.76,Consumer,Direct,Unknown,Cancelled,E5557,49.74820035740566,87.56,3.54,50.69,70.03157550790027,2022,October
FP00047,2023-10-05,2023.0,Q4,North America,Germany,SMB,Marketing,Subscriptions,193841.99,127646.06,66195.93,34.15,20713.23,Small Business,Distributor,PayPal,Paid,E8451,9.72,77.57,1.46,18.9,34.14942758274407,2023,October
FP00048,2025-05-02,2025.0,Q2,Africa,Unknown,Government,Finance,Unknown,81430.84,55619.54,25811.3,31.7,49411.9,Small Business,Distributor,Unknown,Paid,Unknown,27.44,73.93,2.15,49.19,31.697204646298626,2025,May
FP00049,2025-12-09,2025.0,Q4,Europe,Germany,Unknown,IT,Software,139951.76,65327.29,74624.47,53.32,48670.77,Government,Online,Unknown,Paid,E8560,94.76,85.04540054667788,1.62,44.8,53.32156594529429,2025,December
FP00050,2026-03-26,2026.0,Q1,South America,Unknown,Government,IT,Hardware,143604.06,68295.88139759803,45970.59,32.01,14034.53,Government,Direct,Unknown,Pending,E2143,28.35,93.7,2.66,65.13,32.01204060665137,2026,March
FP00051,2026-03-29,2026.0,Q1,Africa,France,Government,Sales,Subscriptions,157755.76,86283.72,71472.04,45.31,626.98,Unknown,Unknown,Cash,Cancelled,Unknown,93.35,96.09,4.92,55.34,45.30550263267724,2026,March
FP00052,2022-05-05,2022.0,Q2,Unknown,Australia,Unknown,Marketing,Hardware,114787.73,60660.65,54127.08,47.15,38889.45,Unknown,Online,Bank Transfer,Overdue,E2644,87.54,83.21,3.0126560354842122,-6.07,47.15406428892705,2022,May
FP00053,2023-07-25,2023.2522311942203,Unknown,North America,Australia,SMB,Operations,Consulting,101325.89404902789,1943.1,2111.07,52.07,25164.733792738436,Government,Online,Cash,Cancelled,E6188,63.05,96.62,2.95,77.3,2.0834457172206453,2023,July
FP00054,2024-01-14,2024.0,Q1,Europe,Canada,Government,Finance,Software,8143.92,3564.04,32533.992725747245,56.24,31742.47,Government,Direct,Cash,Paid,Unknown,33.11,71.68,2.43,72.88,399.4881178320421,2024,January
FP00055,2024-01-01,2023.0,Q2,Europe,Unknown,Retail,IT,Subscriptions,29968.39,20742.37,9226.02,32.403617877568315,28513.44,Corporate,Distributor,PayPal,Pending,E4804,46.65,77.62,2.02,61.33,30.785838011317928,2024,January
FP00056,2024-01-01,2021.0,Q1,North America,Australia,SMB,IT,Unknown,179882.8,117983.2,61899.6,34.41,14737.77,Government,Unknown,UPI,Overdue,E4263,99.94,95.6,1.43,39.19,34.41107209805496,2024,January
FP00057,2023-02-21,2023.0,Q1,Oceania,Brazil,SMB,Unknown,Consulting,114812.62,82222.66,32589.96,28.39,49638.26,Unknown,Distributor,Cash,Pending,E6772,22.68,75.7,2.0,16.57,28.38534648891385,2023,February
FP00058,2025-03-28,2025.0,Q1,Oceania,Unknown,SMB,Marketing,Software,144464.75,110161.57,34303.18,32.403617877568315,41997.69,Small Business,Direct,Credit Card,Overdue,E6352,49.74820035740566,75.27,3.0126560354842122,46.54,23.745017383133256,2025,March
FP00059,2024-01-10,2024.0,Q1,Europe,India,Government,Operations,Services,101325.89404902789,105463.69,69951.97,39.88,25164.733792738436,Consumer,Distributor,Credit Card,Pending,E4696,86.15,85.04540054667788,4.92,14.53,69.03661759564915,2024,January
FP00060,2024-01-01,2026.0,Unknown,Asia,Unknown,Retail,Marketing,Services,169303.15,119616.39,49686.76,29.35,4969.99,Small Business,Distributor,Cash,Paid,E4830,47.68,88.59,4.77,35.45102872340426,29.34780599179637,2024,January
FP00061,2022-11-03,2022.0,Unknown,Unknown,India,Government,Finance,Hardware,101325.89404902789,95551.53,87584.4,47.82,3629.24,Consumer,Online,Cash,Cancelled,E2902,10.62,96.62,1.54,64.15,86.43831946611901,2022,November
FP00062,2023-07-19,2023.0,Q3,Africa,Germany,Government,HR,Software,74831.29,69006.38,5824.91,7.78,34975.96,Government,Distributor,Cash,Paid,E7070,22.51,83.34,1.94,38.62,7.784056642615676,2023,July
FP00063,2023-01-13,2023.2522311942203,Q1,Asia,USA,Government,Unknown,Hardware,20771.57,16142.09,4629.48,22.29,27451.06,Consumer,Distributor,Credit Card,Pending,E1349,49.74820035740566,80.01,4.96,78.01,22.287578647160515,2023,January
FP00064,2025-05-31,2025.0,Unknown,Europe,UK,SMB,Unknown,Consulting,101325.89404902789,49617.77,63733.25,56.23,25164.733792738436,Consumer,Partner,Bank Transfer,Pending,E9850,25.81,85.04540054667788,3.64,8.64,62.899272291801154,2025,May
FP00065,2021-02-22,2023.2522311942203,Q1,North America,Germany,SMB,Finance,Hardware,101325.89404902789,16256.52,32533.992725747245,40.3,39527.36,Government,Online,Credit Card,Unknown,E8344,78.02,85.4,3.0126560354842122,43.0,32.10827107037934,2021,February
FP00066,2023-10-29,2023.0,Q4,Oceania,South Africa,SMB,Marketing,Software,45088.4,33289.16,11799.24,26.17,36498.53,Consumer,Distributor,UPI,Cancelled,E2768,49.54,85.04540054667788,1.29,71.79,26.16912554005021,2023,October
FP00067,2021-06-15,2021.0,Q2,Unknown,South Africa,SMB,Unknown,Consulting,101325.89404902789,31351.21,33749.04,51.84,6746.48,Small Business,Distributor,PayPal,Unknown,E2624,79.52,73.43,3.0126560354842122,46.19,33.30741891472487,2021,June
FP00068,2025-12-03,2023.2522311942203,Unknown,Europe,Brazil,SMB,Marketing,Subscriptions,154023.58,122673.92,31349.66,20.35,11143.64,Government,Online,Cash,Cancelled,E6120,49.74820035740566,85.04540054667788,1.61,30.64,20.353805566654145,2025,December
FP00069,2026-03-06,2026.0,Q1,Oceania,Japan,Enterprise,IT,Software,95379.31,42937.25,52442.06,54.98,4725.54,Small Business,Online,UPI,Overdue,E7929,86.94,91.63,4.87,28.87,54.98263721974923,2026,March
FP00070,2024-05-14,2024.0,Q2,South America,UK,Retail,Operations,Consulting,63177.33,28870.8,34306.53,54.3,25616.92,Small Business,Online,Cash,Unknown,E8030,84.67,99.24,4.27,3.93,54.30196242861165,2024,May
FP00071,2024-01-01,2024.0,Q2,Oceania,Unknown,Retail,Sales,Services,101325.89404902789,68295.88139759803,39756.2,29.38,30645.25,Small Business,Unknown,Cash,Unknown,E3972,87.12,85.04540054667788,2.6,49.2,39.23597257455575,2024,January
FP00072,2021-10-18,2021.0,Q4,South America,Brazil,Government,Operations,Hardware,148452.84,138728.54,9724.3,6.55,25164.733792738436,Small Business,Unknown,Cash,Paid,E1861,16.4,92.63,1.2,37.74,6.550430426255232,2021,October
FP00073,2021-06-17,2021.0,Q2,Asia,UK,Retail,Operations,Subscriptions,55148.47,42137.09,13011.38,23.59,24540.25,Consumer,Partner,Unknown,Cancelled,E9633,67.05,71.36,3.0126560354842122,29.78,23.593365328176827,2021,June
FP00074,2024-05-12,2024.0,Q2,Asia,India,SMB,Finance,Software,11901.61,6098.77,5802.84,48.76,25164.733792738436,Government,Distributor,Unknown,Pending,E7229,49.74820035740566,76.9,3.23,59.06,48.75676484105932,2024,May
FP00075,2024-09-30,2024.0,Q3,North America,Australia,Retail,Operations,Consulting,161433.84,68295.88139759803,32533.992725747245,56.04,43157.34,Government,Unknown,UPI,Overdue,E2887,41.1,98.99,1.69,-6.19,20.153143062041543,2024,September
FP00076,2026-04-25,2026.0,Q2,North America,UK,Government,IT,Subscriptions,101325.89404902789,106350.11,32533.992725747245,14.24,46028.6,Consumer,Distributor,Cash,Overdue,E4630,33.97,75.04,3.04,-2.07,32.10827107037934,2026,April
FP00077,2021-08-22,2021.0,Q3,Oceania,Germany,Enterprise,Finance,Hardware,101325.89404902789,54003.69,32533.992725747245,49.34,25164.733792738436,Small Business,Direct,Bank Transfer,Pending,E2234,18.54,93.19,2.98,21.6,32.10827107037934,2021,August
FP00078,2025-03-26,2025.0,Q1,Oceania,France,SMB,HR,Services,113183.36,81345.72,31837.64,28.13,34216.11,Corporate,Distributor,Unknown,Cancelled,Unknown,63.51,93.89,3.37,35.45102872340426,28.129258576525736,2025,March
FP00079,2022-12-22,2022.0,Q4,Asia,Canada,Retail,IT,Consulting,101960.04,68295.88139759803,43768.97,32.403617877568315,22869.74,Government,Distributor,PayPal,Paid,E8368,91.0,87.15,1.75,35.45102872340426,42.92757240974014,2022,December
FP00080,2024-05-24,2024.0,Q2,Asia,Canada,Unknown,Finance,Unknown,101325.89404902789,46196.51,32533.992725747245,51.7,3562.75,Government,Distributor,PayPal,Pending,E6962,37.91,85.04540054667788,2.64,-0.68,32.10827107037934,2024,May
FP00081,2022-11-24,2022.0,Unknown,Asia,Canada,Unknown,Unknown,Services,136100.65,58360.1,77740.55,32.403617877568315,31728.89,Corporate,Partner,Credit Card,Pending,Unknown,31.71,89.68,3.65,20.12,57.11989619447079,2022,November
FP00082,2021-09-22,2021.0,Q3,Asia,Unknown,Retail,HR,Subscriptions,119413.2,109370.69,10042.51,8.41,15824.3,Unknown,Online,Cash,Unknown,E3953,95.17,85.04540054667788,4.06,23.9,8.409882659538477,2021,September
FP00083,2022-01-29,2022.0,Q1,North America,South Africa,Unknown,HR,Services,46082.07,21919.44,24162.63,52.43,4319.67,Corporate,Distributor,Bank Transfer,Pending,Unknown,49.74820035740566,93.13,3.0126560354842122,66.0,52.43390759139075,2022,January
FP00084,2021-12-06,2021.0,Q4,South America,France,SMB,Unknown,Subscriptions,101325.89404902789,61278.99,83236.43,57.6,18532.82,Corporate,Direct,Cash,Cancelled,E4178,37.42,98.41,4.94,54.76,82.14724457276927,2021,December
FP00085,2024-01-01,2023.0,Unknown,Unknown,UK,Enterprise,Operations,Software,101325.89404902789,127605.03,26513.24,17.2,25393.88,Unknown,Partner,PayPal,Unknown,E9452,49.74820035740566,78.55,4.05,27.68,26.16630255161747,2024,January
FP00086,2022-07-13,2023.2522311942203,Q3,Europe,Australia,SMB,Unknown,Subscriptions,90414.52,61693.81,28720.71,31.77,41636.81,Consumer,Distributor,Unknown,Overdue,E4862,39.23,85.04540054667788,1.9,35.45102872340426,31.76559472969607,2022,July
FP00087,2022-10-15,2022.0,Unknown,Europe,USA,SMB,Marketing,Hardware,186234.36,68295.88139759803,25784.71,13.85,32673.05,Government,Distributor,PayPal,Paid,Unknown,2.88,76.47,1.6,61.22,13.845302231016877,2022,October
FP00088,2024-01-01,2026.0,Q2,Asia,Canada,Retail,Sales,Subscriptions,145719.72,100586.58,45133.14,30.97,6003.75,Government,Online,Credit Card,Cancelled,E9782,2.63,85.46,1.97,15.93,30.972568434800724,2024,January
FP00089,2024-01-01,2021.0,Unknown,Europe,Canada,SMB,Finance,Consulting,101325.89404902789,23635.98,35327.15,59.91,25164.733792738436,Consumer,Distributor,UPI,Paid,Unknown,98.12,77.61,3.0126560354842122,41.36,34.864878648794836,2024,January
FP00090,2025-06-03,2025.0,Q2,Unknown,Japan,Enterprise,Finance,Services,14444.35,7693.34,6751.01,46.74,33026.67,Small Business,Direct,UPI,Cancelled,E3986,49.74820035740566,71.89,4.1,-0.67,46.73806713351588,2025,June
FP00091,2024-01-01,2023.0,Q3,Asia,Unknown,Government,IT,Subscriptions,101325.89404902789,4270.8,4088.97,48.91,39659.91,Small Business,Online,Bank Transfer,Overdue,E6848,86.35,71.43,3.0126560354842122,69.72,4.035464022672721,2024,January
FP00092,2022-07-14,2023.2522311942203,Unknown,South America,Japan,Enterprise,Marketing,Unknown,25770.53,15524.44,10246.09,39.76,25164.733792738436,Small Business,Partner,Credit Card,Cancelled,E2293,43.63,99.85,1.72,56.9,39.75894170589429,2022,July
FP00093,2024-01-01,2022.0,Q3,Unknown,Brazil,Enterprise,HR,Subscriptions,64921.07,28827.42,36093.65,55.6,33215.5,Small Business,Distributor,Unknown,Overdue,E8126,28.18,99.4,4.79,17.58,55.596203204907134,2024,January
FP00094,2021-06-03,2023.2522311942203,Q2,Europe,USA,Enterprise,IT,Unknown,134565.59,68295.88139759803,32533.992725747245,37.66,25164.733792738436,Consumer,Direct,Credit Card,Unknown,Unknown,36.85,98.48,1.13,57.49,24.17705204261152,2021,June
FP00095,2021-11-11,2021.0,Q4,Unknown,Germany,SMB,Marketing,Services,136133.35,125494.93,10638.42,7.81,18914.66,Unknown,Direct,Credit Card,Paid,E4048,50.41,81.61,3.25,58.68,7.814705213674681,2021,November
FP00096,2022-06-21,2022.0,Q2,Oceania,Australia,Enterprise,Finance,Hardware,101325.89404902789,122190.78,33027.15,21.28,11121.24,Consumer,Distributor,Bank Transfer,Unknown,E2438,49.74820035740566,99.03,4.95,45.07,32.594975164018166,2022,June
FP00097,2024-09-29,2023.2522311942203,Q3,Europe,Germany,SMB,Unknown,Hardware,70137.63,30560.12,39577.51,56.43,27337.48,Consumer,Direct,Bank Transfer,Pending,E9094,3.6,86.62,2.48,35.45102872340426,56.428353795245144,2024,September
FP00098,2025-07-04,2025.0,Q3,South America,Australia,Government,Marketing,Consulting,101325.89404902789,92681.3,103938.08,52.86,25164.733792738436,Consumer,Direct,Cash,Paid,E8372,47.12,85.52,1.51,-4.08,102.57800434478096,2025,July
FP00099,2025-08-25,2025.0,Unknown,South America,South Africa,Retail,Finance,Consulting,156272.32,117499.07,38773.25,24.81,25164.733792738436,Corporate,Partner,Unknown,Pending,Unknown,93.54,85.04540054667788,4.79,76.96,24.81133575031074,2025,August
FP00100,2023-11-29,2023.0,Q4,Africa,India,Unknown,HR,Services,179090.26,154960.27,24129.99,13.47,12904.96,Unknown,Direct,PayPal,Pending,E3804,66.21,91.62,3.42,47.16,13.473647310579592,2023,November
FP00101,2024-01-01,2025.0,Q3,Oceania,France,SMB,HR,Unknown,184862.02,78133.2,106728.82,32.403617877568315,43257.17,Government,Online,UPI,Unknown,E5949,48.81,94.14,3.0126560354842122,-2.69,57.734314490342584,2024,January
FP00102,2022-09-02,2022.0,Q3,Unknown,UK,SMB,IT,Hardware,91255.28,71063.91,20191.37,22.13,8324.98,Small Business,Unknown,Cash,Cancelled,E3142,76.31,85.45,1.42,27.41,22.12624847570464,2022,September
FP00103,2024-01-01,2023.2522311942203,Q2,Asia,Brazil,Government,Sales,Unknown,93828.04,51334.2,42493.84,45.29,12771.98,Unknown,Partner,Bank Transfer,Unknown,E9163,49.74820035740566,84.0,4.52,-1.29,45.28906284304777,2024,January
FP00104,2023-10-16,2023.0,Q4,Europe,France,SMB,Finance,Software,5612.08,5162.43,449.65,8.01,25519.5,Small Business,Distributor,PayPal,Cancelled,E5681,54.13,95.42,2.72,35.45102872340426,8.012180866986927,2023,October
FP00105,2025-12-13,2025.0,Q4,North America,France,Enterprise,Operations,Consulting,53630.11,32241.23,21388.88,39.88,20461.08,Small Business,Online,UPI,Cancelled,Unknown,82.71,88.7,3.0126560354842122,35.45102872340426,39.882222878155574,2025,December
FP00106,2021-09-21,2021.0,Q3,Asia,Unknown,Enterprise,IT,Consulting,195041.48,120271.75,74769.73,38.34,39847.41,Government,Online,Credit Card,Paid,E3245,71.65,94.12,3.08,20.52,38.33529667637878,2021,September
FP00107,2021-11-02,2021.0,Q4,Europe,Brazil,SMB,Unknown,Services,101325.89404902789,83148.36,38497.48,31.65,16734.31,Government,Partner,UPI,Paid,E7035,33.79,85.04540054667788,3.0126560354842122,45.18,37.99372348135658,2021,November
FP00108,2022-09-23,2022.0,Q3,Unknown,Unknown,Enterprise,HR,Software,159554.21,127472.38,32081.83,20.11,34558.16,Government,Direct,PayPal,Unknown,E3421,82.34,77.27,3.29,-7.6,20.107166084805915,2022,September
FP00109,2024-12-05,2024.0,Q4,Oceania,UK,Government,IT,Consulting,22869.21,9385.88,13483.33,58.96,16027.78,Government,Online,Bank Transfer,Unknown,E6325,99.81,84.35,2.51,3.63,58.95844237732742,2024,December
FP00110,2026-05-14,2026.0,Q2,Oceania,India,Government,Sales,Hardware,35463.3,68295.88139759803,3487.17,9.83,17445.19,Small Business,Partner,Unknown,Overdue,E5735,70.79,90.71,2.96,21.89,9.833179653331754,2026,May
FP00111,2023-09-10,2023.2522311942203,Q3,North America,France,Government,Unknown,Services,70411.83,64323.69,6088.14,8.65,25164.733792738436,Corporate,Partner,Credit Card,Overdue,E2294,35.29,83.27,2.03,14.61,8.646473184974742,2023,September
